iter	Passed	Remaining
0	23	11636
1	44	11047
2	64	10678
3	83	10407
4	105	10416
5	127	10531
6	150	10606
7	172	10583
8	192	10526
9	212	10431
10	233	10367
11	252	10278
12	271	10177
13	290	10076
14	310	10053
15	331	10022
16	350	9958
17	369	9901
18	388	9844
19	409	9826
20	429	9791
21	448	9750
22	469	9737
23	489	9717
24	508	9661
25	529	9646
26	547	9597
27	566	9541
28	585	9510
29	604	9477
30	623	9434
31	643	9417
32	663	9390
33	683	9362
34	701	9322
35	720	9290
36	740	9260
37	759	9228
38	778	9202
39	798	9182
40	818	9165
41	837	9134
42	856	9104
43	875	9073
44	893	9036
45	912	9003
46	930	8972
47	951	8958
48	970	8934
49	989	8909
50	1010	8897
51	1029	8870
52	1049	8852
53	1068	8829
54	1089	8812
55	1109	8797
56	1128	8773
57	1149	8760
58	1170	8751
59	1192	8745
60	1213	8734
61	1233	8716
62	1253	8696
63	1275	8691
64	1298	8688
65	1318	8670
66	1337	8644
67	1356	8616
68	1374	8585
69	1393	8561
70	1412	8536
71	1431	8511
72	1451	8489
73	1470	8462
74	1489	8442
75	1509	8420
76	1528	8398
77	1547	8372
78	1566	8345
79	1585	8322
80	1606	8310
81	1626	8291
82	1645	8267
83	1664	8243
84	1684	8225
85	1704	8206
86	1722	8176
87	1739	8145
88	1759	8124
89	1777	8099
90	1796	8075
91	1815	8053
92	1834	8028
93	1853	8006
94	1872	7980
95	1890	7954
96	1908	7931
97	1926	7904
98	1945	7881
99	1964	7858
100	1984	7838
101	2002	7813
102	2022	7794
103	2040	7770
104	2059	7745
105	2077	7720
106	2096	7698
107	2116	7680
108	2135	7660
109	2155	7642
110	2174	7621
111	2193	7599
112	2212	7578
113	2231	7557
114	2250	7533
115	2267	7506
116	2286	7486
117	2304	7459
118	2322	7436
119	2341	7415
120	2361	7395
121	2380	7375
122	2399	7353
123	2418	7334
124	2438	7316
125	2457	7293
126	2475	7270
127	2493	7248
128	2513	7227
129	2531	7205
130	2549	7182
131	2568	7161
132	2587	7139
133	2605	7116
134	2624	7094
135	2643	7074
136	2662	7054
137	2681	7033
138	2700	7013
139	2718	6990
140	2736	6968
141	2755	6946
142	2773	6923
143	2791	6901
144	2811	6883
145	2830	6862
146	2849	6843
147	2869	6825
148	2888	6805
